sample;tokens;tags
помидор\ud83d\ude18;['▁по', 'ми', 'дор', '\\', 'ud', '83', 'd', '\\', 'ude', '18'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
снущеное;['▁', 'сну', 'ще', 'ное'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
ахмад;['▁ахмад'];['B-BRAND']
варерье;['▁вар', 'ер', 'ье'];['B-TYPE', 'I-TYPE', 'I-TYPE']
томаьна;['▁том', 'а', 'ь', 'на'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
бройлл;['▁брой', 'лл'];['B-TYPE', 'I-TYPE']
каши йогуртовы;['▁каш', 'и', '▁й', 'о', 'гурт', 'овы'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
грили;['▁гри', 'ли'];['B-TYPE', 'I-TYPE']
селеные;['▁се', 'ле', 'ные'];['B-TYPE', 'I-TYPE', 'I-TYPE']
econta грану;['▁e', 'conta', '▁гра', 'ну'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
заточные станки;['▁зато', 'чные', '▁стан', 'ки'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
шоколад для растаплива;['▁шоколад', '▁для', '▁раста', 'плив', 'а'];['B-TYPE', 'O', 'O', 'O', 'O']
сирд;['▁си', 'рд'];['B-TYPE', 'I-TYPE']
шено;['▁ше', 'но'];['B-TYPE', 'I-TYPE']
концентрированный с;['▁кон', 'центр', 'ирован', 'ный', '▁с'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE']
озерк;['▁о', 'зер', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE']
сапатников;['▁са', 'пат', 'ников'];['B-TYPE', 'I-TYPE', 'I-TYPE']
топленное томмолоко;['▁топ', 'лен', 'ное', '▁том', 'моло', 'ко'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
томатная.;['▁том', 'ат', 'ная', '.'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
соси;['▁со', 'си'];['B-TYPE', 'I-TYPE']
яяблоки;['▁я', 'я', 'блок', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
корм паштет для кошек;['▁корм', '▁па', 'штет', '▁для', '▁ко', 'шек'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'O', 'O', 'O']
понкейк;['▁по', 'н', 'кей', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
плавки призе;['▁плав', 'ки', '▁при', 'зе'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
крыжовник artfrui;['▁крыж', 'ов', 'ник', '▁art', 'fru', 'i'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
кедровый;['▁ке', 'др', 'овый'];['B-TYPE', 'I-TYPE', 'I-TYPE']
мультифрукт без мякоти;['▁мульти', 'ф', 'рук', 'т', '▁без', '▁мя', 'ко', 'ти'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
энергетические напитк;['▁', 'энергетическ', 'ие', '▁на', 'пит', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
консервы кусковы;['▁консерв', 'ы', '▁ку', 'ско', 'вы'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
ножи econta;['▁но', 'жи', '▁e', 'conta'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
жрунал;['▁ж', 'ру', 'нал'];['B-TYPE', 'I-TYPE', 'I-TYPE']
маффи;['▁ма', 'фф', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE']
основа ля чебуреков;['▁основа', '▁ля', '▁че', 'бур', 'е', 'ков'];['B-TYPE', 'O', 'O', 'O', 'O', 'O']
m&ms драже;['▁m', '&', 'ms', '▁дра', 'же'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
массандра розовый;['▁мас', 'сандр', 'а', '▁роз', 'овый'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
авокадр;['▁ав', 'ока', 'др'];['B-TYPE', 'I-TYPE', 'I-TYPE']
сервелато;['▁сер', 'вела', 'то'];['B-TYPE', 'I-TYPE', 'I-TYPE']
патиссоны;['▁пати', 'сс', 'оны'];['B-TYPE', 'I-TYPE', 'I-TYPE']
сырокж;['▁сыр', 'ок', 'ж'];['B-TYPE', 'I-TYPE', 'I-TYPE']
члкозавр;['▁чл', 'ко', 'за', 'вр'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
варенная колбаса;['▁вар', 'енная', '▁кол', 'баса'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
тостлвый;['▁то', 'ст', 'лв', 'ый'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
чай зеленый без добавок;['▁чай', '▁зелен', 'ый', '▁без', '▁доба', 'вок'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'O', 'O', 'O']
российский красное;['▁российский', '▁крас', 'ное'];['B-BRAND', 'B-TYPE', 'I-TYPE']
компотна;['▁комп', 'от', 'на'];['B-TYPE', 'I-TYPE', 'I-TYPE']
питьевые;['▁', 'пить', 'евые'];['B-TYPE', 'I-TYPE', 'I-TYPE']
chik;['▁chi', 'k'];['B-BRAND', 'I-BRAND']
сырнички сытоедо;['▁сыр', 'нички', '▁сы', 'то', 'е', 'до'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
гкль для стирки;['▁г', 'к', 'ль', '▁для', '▁сти', 'рки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O']
арахиз;['▁а', 'рах', 'из'];['B-TYPE', 'I-TYPE', 'I-TYPE']
сыр плавленен;['▁сыр', '▁плав', 'лен', 'ен'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
мармелед;['▁мар', 'мел', 'ед'];['B-TYPE', 'I-TYPE', 'I-TYPE']
салофетки;['▁сал', 'оф', 'етки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
лоломтик;['▁', 'ло', 'лом', 'тик'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
ren;['▁ren'];['B-BRAND']
декор;['▁декор'];['B-TYPE']
приправа для рыбы;['▁при', 'права', '▁для', '▁рыб', 'ы'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'B-TYPE', 'I-TYPE']
останкинская;['▁оста', 'нки', 'нская'];['B-BRAND', 'I-BRAND', 'I-BRAND']
choco-;['▁cho', 'co', '-'];['B-BRAND', 'I-BRAND', 'I-BRAND']
nemiroff ликер;['▁nem', 'ir', 'off', '▁ли', 'кер'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
смессь;['▁смес', 'сь'];['B-TYPE', 'I-TYPE']
полукопченый колбас;['▁полу', 'коп', 'че', 'ный', '▁кол', 'бас'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
полукопченая колбасно;['▁полу', 'коп', 'че', 'ная', '▁кол', 'бас', 'но'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
услада козинак;['▁ус', 'лада', '▁коз', 'и', 'нак'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
тесто на чебуреки;['▁тест', 'о', '▁на', '▁че', 'бур', 'е', 'ки'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O']
сахарн;['▁сахар', 'н'];['B-TYPE', 'I-TYPE']
мнлокр;['▁', 'мн', 'лок', 'р'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
сыань;['▁сы', 'ань'];['O', 'O']
картофель фасованный;['▁картоф', 'ель', '▁фа', 'сова', 'нный'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
ванильный dr.oetke;['▁ван', 'ил', 'ьный', '▁dr', '.', 'o', 'et', 'ke'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
вермут martin;['▁вер', 'мут', '▁', 'martin'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
святой источник 5л;['▁свято', 'й', '▁источник', '▁5', 'л'];['B-BRAND', 'I-BRAND', 'B-BRAND', 'B-VOLUME', 'I-VOLUME']
панама призе;['▁па', 'нама', '▁при', 'зе'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
труcы;['▁', 'тру', 'c', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
корн;['▁кор', 'н'];['B-TYPE', 'I-TYPE']
крышка;['▁крыш', 'ка'];['B-TYPE', 'I-TYPE']
сеырок;['▁се', 'ы', 'рок'];['B-TYPE', 'I-TYPE', 'I-TYPE']
sonnentor ваниль;['▁son', 'nen', 'tor', '▁ван', 'иль'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
масло сливочное коровка из;['▁масло', '▁с', 'ливо', 'чно', 'е', '▁кор', 'овка', '▁из'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'B-BRAND']
дизодорант;['▁ди', 'зо', 'дор', 'ант'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
прочие охлажденн;['▁прочие', '▁ох', 'лаж', 'ден', 'н'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
салеики;['▁са', 'ле', 'ики'];['B-TYPE', 'I-TYPE', 'I-TYPE']
пемечки;['▁пе', 'ме', 'чки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
мягкий сыр;['▁', 'мягк', 'ий', '▁сыр'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE']
кквас;['▁к', 'ква', 'с'];['B-TYPE', 'I-TYPE', 'I-TYPE']
фаготт;['▁фа', 'гот', 'т'];['B-TYPE', 'I-TYPE', 'I-TYPE']
квртофель;['▁кв', 'рт', 'оф', 'ель'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
дрожжи;['▁дро', 'ж', 'жи'];['B-TYPE', 'I-TYPE', 'I-TYPE']
пюре бабушкино лукошко;['▁пюре', '▁бабу', 'шки', 'но', '▁лу', 'ко', 'шко'];['B-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'B-BRAND', 'I-BRAND', 'I-BRAND']
вода лечебная;['▁вода', '▁', 'лече', 'б', 'ная'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
салфетки влажные;['▁сал', 'фет', 'ки', '▁влажн', 'ые'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
эклеры arkhangel'skkhle;"['▁э', 'кле', 'ры', '▁ar', 'khan', 'gel', ""'"", 's', 'kk', 'hle']";['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
йгрушки;['▁й', 'гр', 'ушки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
заливные атр;['▁за', 'лив', 'ные', '▁а', 'тр'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
инбейка;['▁', 'ин', 'бей', 'ка'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
рис7;['▁рис', '7'];['B-TYPE', 'I-TYPE']
варенная черкаши;['▁вар', 'енная', '▁чер', 'ка', 'ши'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
оливка;['▁о', 'лив', 'ка'];['B-TYPE', 'I-TYPE', 'I-TYPE']
круссаны;['▁кру', 'сс', 'аны'];['B-TYPE', 'I-TYPE', 'I-TYPE']
котлета для бур;['▁кот', 'лета', '▁для', '▁бур'];['B-TYPE', 'I-TYPE', 'O', 'O']
помиддор;['▁пом', 'ид', 'дор'];['B-TYPE', 'I-TYPE', 'I-TYPE']
биск;['▁би', 'ск'];['B-TYPE', 'I-TYPE']
доброко;['▁добро', 'ко'];['B-TYPE', 'I-TYPE']
саляетки;['▁са', 'ляет', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
малинка;['▁мали', 'нка'];['B-TYPE', 'I-TYPE']
грибып;['▁гриб', 'ып'];['B-TYPE', 'I-TYPE']
пакнты для льда;['▁пак', 'н', 'ты', '▁для', '▁', 'ль', 'да'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
abon;['▁abon'];['O']
панироваяные;['▁пан', 'иров', 'ая', 'ные'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
new can;['▁new', '▁can'];['O', 'O']
лапландия;['▁', 'лап', 'ланд', 'ия'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
гель порошок лоск;['▁', 'гель', '▁поро', 'шок', '▁', 'ло', 'ск'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
кофе растворимое;['▁кофе', '▁раствор', 'имо', 'е'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
творог безлактозный;['▁твор', 'ог', '▁без', 'лак', 'то', 'з', 'ный'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
сыровялепое;['▁сыр', 'ов', 'я', 'леп', 'ое'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
саус;['▁са', 'ус'];['B-TYPE', 'I-TYPE']
беллини снэк;['▁бел', 'лини', '▁с', 'н', 'эк'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
chups;['▁chu', 'ps'];['B-BRAND', 'I-BRAND']
зуб5ая;['▁зуб', '5', 'ая'];['B-TYPE', 'I-TYPE', 'I-TYPE']
варенец пестравк;['▁в', 'арен', 'ец', '▁пе', 'стра', 'в', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
все для выпечки;['▁все', '▁для', '▁вы', 'пе', 'чки'];['O', 'O', 'O', 'O', 'O']
томаты в соб;['▁то', 'маты', '▁в', '▁', 'соб'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O']
сыр ассорти;['▁сыр', '▁ас', 'сор', 'ти'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
царь пшено;['▁цар', 'ь', '▁п', 'ше', 'но'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
пальто grishko;['▁', 'паль', 'то', '▁gris', 'h', 'ko'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
морс детский;['▁мор', 'с', '▁детски', 'й'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
газеты №1;['▁газеты', '▁No', '1'];['B-TYPE', 'B-BRAND', 'I-BRAND']
винилин;['▁', 'вини', 'лин'];['B-TYPE', 'I-TYPE', 'I-TYPE']
соль илецкая;['▁', 'соль', '▁и', 'ле', 'цкая'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
творог зернёный;['▁твор', 'ог', '▁', 'зер', 'нё', 'ный'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
кориандр kamis;['▁кори', 'андр', '▁kami', 's'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
салями черкизово астория;['▁сал', 'ями', '▁', 'черк', 'из', 'ово', '▁а', 'стори', 'я'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-BRAND', 'I-BRAND', 'I-BRAND']
мой с;['▁мой', '▁с'];['B-BRAND', 'B-TYPE']
согурец;['▁со', 'гур', 'ец'];['B-TYPE', 'I-TYPE', 'I-TYPE']
граанатовый;['▁гра', 'а', 'нат', 'овый'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
кефир для детей;['▁ке', 'фи', 'р', '▁для', '▁детей'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O']
салh;['▁сал', 'h'];['B-TYPE', 'I-TYPE']
фрутоняняяяяя́;['▁фр', 'у', 'то', 'ня', 'няя', 'я', 'я', 'я', '́'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
рлет;['▁р', 'лет'];['B-TYPE', 'I-TYPE']
шампигьоны;['▁шам', 'пи', 'г', 'ьон', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
фасоль стручковая;['▁фа', 'соль', '▁стру', 'чков', 'ая'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
fresco редис;['▁fresco', '▁ред', 'ис'];['B-BRAND', 'B-TYPE', 'I-TYPE']
валяные;['▁ва', 'ля', 'ные'];['B-TYPE', 'I-TYPE', 'I-TYPE']
тархун;['▁та', 'рх', 'ун'];['B-TYPE', 'I-TYPE', 'I-TYPE']
мсахар;['▁м', 'са', 'хар'];['B-TYPE', 'I-TYPE', 'I-TYPE']
капмулы;['▁кап', 'м', 'улы'];['B-TYPE', 'I-TYPE', 'I-TYPE']
втчина;['▁в', 'т', 'чина'];['B-TYPE', 'I-TYPE', 'I-TYPE']
белое виноградн;['▁бел', 'ое', '▁виноград', 'н'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
икринка с креветкой;['▁и', 'кри', 'нка', '▁с', '▁кревет', 'кой'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O']
maestro галстук;['▁maestro', '▁гал', 'с', 'тук'];['B-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
замороженнно;['▁замор', 'ожен', 'нно'];['B-TYPE', 'I-TYPE', 'I-TYPE']
густые;['▁густ', 'ые'];['B-TYPE', 'I-TYPE']
черкизовский например;['▁', 'черк', 'из', 'овский', '▁например'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'O']
шренки;['▁ш', 'рен', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
времут;['▁', 'вре', 'мут'];['B-TYPE', 'I-TYPE', 'I-TYPE']
сливке;['▁с', 'лив', 'ке'];['B-TYPE', 'I-TYPE', 'I-TYPE']
картощку;['▁кар', 'то', 'щ', 'ку'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
feniks+ пенал;['▁fen', 'iks', '+', '▁пен', 'ал'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
рукколан;['▁рук', 'ко', 'лан'];['B-TYPE', 'I-TYPE', 'I-TYPE']
клюквой;['▁к', 'люк', 'вой'];['B-TYPE', 'I-TYPE', 'I-TYPE']
энергиль;['▁энерг', 'иль'];['B-TYPE', 'I-TYPE']
вода ароматизированная;['▁вода', '▁аромат', 'изирован', 'ная'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
вода архыз;['▁вода', '▁', 'арх', 'ыз'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
овощт;['▁овощ', 'т'];['B-TYPE', 'I-TYPE']
с рнирм;['▁с', '▁р', 'ни', 'р', 'м'];['O', 'O', 'O', 'O', 'O']
голубика.;['▁голуб', 'ика', '.'];['B-TYPE', 'I-TYPE', 'I-TYPE']
кабан;['▁каб', 'ан'];['B-TYPE', 'I-TYPE']
тербуренка;['▁тер', 'бур', 'енка'];['O', 'O', 'O']
кильк;['▁к', 'иль', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE']
туслетная;['▁тус', 'лет', 'ная'];['B-TYPE', 'I-TYPE', 'I-TYPE']
чай листовой зеленый;['▁чай', '▁лист', 'овой', '▁зелен', 'ый'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
волжаночка варене;['▁вол', 'жан', 'очка', '▁вар', 'ене'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
клубника fres;['▁клуб', 'ника', '▁fres'];['B-TYPE', 'I-TYPE', 'B-BRAND']
хлебцы союзпищепр;['▁хлеб', 'цы', '▁союз', 'п', 'ище', 'пр'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
дродевое;['▁дро', 'де', 'вое'];['B-TYPE', 'I-TYPE', 'I-TYPE']
жувачки;['▁ж', 'увачки'];['B-TYPE', 'I-TYPE']
хлеб уральский;['▁хлеб', '▁', 'ура', 'льский'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
руетк;['▁ру', 'ет', 'к'];['O', 'O', 'O']
газеты н;['▁газеты', '▁н'];['B-TYPE', 'B-BRAND']
ладога джи;['▁лад', 'ога', '▁', 'джи'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
спичка;['▁спи', 'чка'];['B-TYPE', 'I-TYPE']
щетка щубная мягкая;['▁ще', 'тка', '▁', 'щу', 'б', 'ная', '▁', 'мягк', 'ая'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
хлеб с из;['▁хлеб', '▁с', '▁из'];['B-TYPE', 'B-TYPE', 'O']
телятина охлажденн;['▁', 'теля', 'тина', '▁ох', 'лаж', 'ден', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
маршарин;['▁марш', 'а', 'рин'];['B-BRAND', 'I-BRAND', 'I-BRAND']
всеслав гале;['▁все', 'слав', '▁гал', 'е'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
краьбовы;['▁кра', 'ь', 'бо', 'вы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
бутер;['▁бу', 'тер'];['B-TYPE', 'I-TYPE']
лапешки;['▁', 'лап', 'е', 'шки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
сотсы remeco;['▁сот', 'сы', '▁reme', 'co'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
яьлоко;['▁я', 'ь', 'ло', 'ко'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
вареники с сырой;['▁вар', 'е', 'ники', '▁с', '▁сыр', 'ой'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O']
брест-литовск кеф.;['▁бре', 'ст', '-', 'ли', 'тов', 'ск', '▁к', 'еф', '.'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
кондицио;['▁кон', 'дици', 'о'];['B-TYPE', 'I-TYPE', 'I-TYPE']
гречкп;['▁гре', 'ч', 'к', 'п'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
шоколадг;['▁шоколад', 'г'];['B-TYPE', 'I-TYPE']
мармелад желейный;['▁мар', 'ме', 'лад', '▁же', 'лей', 'ный'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
выпичке;['▁вып', 'ичке'];['B-TYPE', 'I-TYPE']
хлеб для точтов;['▁хлеб', '▁для', '▁', 'точ', 'тов'];['B-TYPE', 'O', 'O', 'O', 'O']
нутт;['▁', 'нут', 'т'];['B-TYPE', 'I-TYPE', 'I-TYPE']
