tokens;tags
['птица', '900g'];['B-TYPE', 'B-VOLUME']
['▁про', 'че'];['B-TYPE', 'I-TYPE']
['igry', '1шт'];['B-TYPE', 'B-VOLUME']
['▁мол', 'кл', 'в', 'ь'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['100г', 'КУКУРУЗНЫЕ', 'СНЕКИ'];['B-VOLUME', 'B-TYPE', 'I-TYPE']
['▁', 'жела', 'тин', '▁s', 'pic', 'expert'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
['▁ке', 'и', '▁', '1', '%'];['B-TYPE', 'O', 'B-PERCENT', 'I-PERCENT', 'I-PERCENT']
['83', 'г', 'осень', 'в', 'сладостях'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁е', 'мк', '▁ка', 'пус'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
['▁вод', 'росли'];['B-TYPE', 'I-TYPE']
['▁ar', 'ko'];['B-BRAND', 'I-BRAND']
['▁сви', 'ина'];['B-TYPE', 'I-TYPE']
['▁', 'чая', '▁ас', 'сор'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['Для', 'Других', 'Питомцев', 'его', '20', 'л'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'B-VOLUME', 'I-VOLUME']
['УХОД', 'ЗА', 'СОБОЙ', '2Y0мл'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME']
['32', 'шт', 'bumaga'];['B-VOLUME', 'I-VOLUME', 'B-TYPE']
['леденцы', '20Г'];['B-TYPE', 'B-VOLUME']
['сухари', '125г'];['B-TYPE', 'B-VOLUME']
['▁кол', 'бас', ','];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁ostrov', '▁га', 'мак'];['B-BRAND', 'B-TYPE', 'I-TYPE']
['110Г', 'крекеры'];['B-VOLUME', 'B-TYPE']
['▁анан', 'а', 'со'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['СКИДКИ', 'НЕДЕЛИ', '270', 'g'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁', 'лежа', 'ки', ',', '▁до', 'ми'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
"['▁сло', 'йка', '▁ar', 'khan', 'gel', ""'"", 's', 'kk', 'hle']";['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
['ОТДЫХ', '285мл'];['B-TYPE', 'B-VOLUME']
['какой', '1t0Г', 'Перекус', 'С', 'Пользой'];['O', 'B-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['МОРСЫ', '950мл'];['B-TYPE', 'B-VOLUME']
['вафли', '4W3Г'];['B-TYPE', 'B-VOLUME']
['вкус', '1.5%'];['B-TYPE', 'B-PERCENT']
['▁жел', 'ты'];['B-TYPE', 'I-TYPE']
['588Г', 'кухня', 'завтра'];['B-VOLUME', 'B-TYPE', 'O']
['voda', '3', 'л'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁сыр', 'ок', '▁с', '▁ван', 'или', 'ном'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
['▁mil', 'ky', 'we'];['B-BRAND', 'I-BRAND', 'I-BRAND']
['▁', 'шей', 'ка', '▁сви', 'ная'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['холодный', 'чай', 'хочу', '1.5', 'л'];['B-TYPE', 'I-TYPE', 'O', 'B-VOLUME', 'I-VOLUME']
['200', 'Г', 'САЛАТЫ', 'без'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'O']
['фрукты', '600', 'г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['torty', '200МЛ'];['B-TYPE', 'B-VOLUME']
['▁вода', '▁без', '▁газ', 'а', '▁1'];['B-TYPE', 'O', 'O', 'O', 'B-VOLUME']
['250g', 'закуски'];['B-VOLUME', 'B-TYPE']
['тесто', '150г'];['B-TYPE', 'B-VOLUME']
['салфетки', '160', 'Шт'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁па', 'штет', '▁гу', 'си', 'ный'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['творог', '1.8%'];['B-TYPE', 'B-PERCENT']
['▁аэро', 'оль'];['B-TYPE', 'I-TYPE']
['▁кры', 'ли', 'шки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['energetiki', '7T0мл'];['B-TYPE', 'B-VOLUME']
['▁пар', 'ш', 'мел', 'ло', 'у'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['игры', '1шт'];['B-TYPE', 'B-VOLUME']
['rybnye', 'sneki', '36g'];['B-TYPE', 'I-TYPE', 'B-VOLUME']
['▁', 'шава', 'рма'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['750', 'ml', 'чистящие', 'средства'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE']
['▁мол', 'очный', '▁смес'];['B-TYPE', 'I-TYPE', 'B-TYPE']
['Лёд', '6.5%'];['B-TYPE', 'B-PERCENT']
['веган', 'E00', 'Мл'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['жвачка', '60г'];['B-TYPE', 'B-VOLUME']
['▁pola', 'ris', '▁мульти', 'вар'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
['масло', '80', '%'];['B-TYPE', 'B-PERCENT', 'I-PERCENT']
['▁', 'бю', 'ст', 'га', 'ль', 'тера'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'гель', '▁', 'ло', 'ск'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['вафли', '900', 'г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['тесто', '90г'];['B-TYPE', 'B-VOLUME']
['▁п', 'н', 'ль', 'мн', 'ни'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['соломка', '275', 'g'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁карт', 'ны'];['B-TYPE', 'I-TYPE']
['▁шам', 'пу', 'нь', '▁ken', 'sai'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁cur', 'tis', '▁тол', 'ст', 'ов'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['Осень', 'В', 'Сладостях', '81', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁z', 'лук'];['B-TYPE', 'I-TYPE']
['комбо', '500', 'мл'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁твор', 'ож', 'н', 'нный'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['moreprodukty', '180g'];['B-TYPE', 'B-VOLUME']
['▁хлеб', '▁ла', 'ваш'];['B-TYPE', 'B-TYPE', 'I-TYPE']
['1.5', 'Л', 'Вода'];['B-VOLUME', 'I-VOLUME', 'B-TYPE']
['▁стакан', 'а', '▁па', 'ша', 'бах'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
['vygodno', '4', '%'];['B-TYPE', 'B-PERCENT', 'I-PERCENT']
['школа', '80l'];['B-TYPE', 'B-VOLUME']
['▁набор', '▁суп', 'овой'];['B-TYPE', 'B-TYPE', 'I-TYPE']
['▁о', 'гу', 'эр', 'ец'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['только', 'в', 'доставке', '13%'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-PERCENT']
['САЛФЕТКИ', '50шт'];['B-TYPE', 'B-VOLUME']
['ПАШТЕТЫ', '70', 'г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['рыбные', 'снеки', '300', 'g'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁коп', 'тил', 'ьный', '▁двор', '▁для'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O']
['мясо', '250', 'МЛ'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁повод', 'ки', '▁de', 'zz'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁fish', 'ka', '▁гре', 'нк'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
['▁', 'смя', 'гч', 'ители', '▁вод'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE']
['konfety', '74', '%'];['B-TYPE', 'B-PERCENT', 'I-PERCENT']
['▁ме', 'кси', 'кан', 'ск', 'я'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['85г', 'для', 'котиков'];['B-VOLUME', 'B-TYPE', 'I-TYPE']
['▁че', 'сно', 'к', '▁су', 'шен', 'ный'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁ка', 'приз', '▁с', '▁ма', 'ком'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O']
['йогурты', '900', 'Г', 'вон'];['B-TYPE', 'B-VOLUME', 'I-VOLUME', 'O']
['470г', 'лаваш'];['B-VOLUME', 'B-TYPE']
['▁шам', 'пу', 'н', 'ъ'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['50', 'Г', 'zakuski'];['B-VOLUME', 'I-VOLUME', 'B-TYPE']
['500', 'г', 'мёд'];['B-VOLUME', 'I-VOLUME', 'B-TYPE']
['они', 'supy', '110г'];['O', 'B-TYPE', 'B-VOLUME']
['▁о', 'вся', 'нные', '▁хлоп', 'ья'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['скидки', 'недели', '600г'];['B-TYPE', 'I-TYPE', 'B-VOLUME']
['▁мас', 'ли', 'ны', '▁del', 'phi'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['Цки', '▁', 'смета'];['B-BRAND', 'B-TYPE', 'I-TYPE']
['уход', 'за', 'полостью', 'рта', '150', 'мл'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME']
['около', 'пиво', '0.', '0', '%'];['O', 'B-TYPE', 'B-PERCENT', 'I-PERCENT', 'I-PERCENT']
['▁х', 'ле', 'еб'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['соль', '250г'];['B-TYPE', 'B-VOLUME']
['40%', 'mjasnye'];['B-PERCENT', 'B-TYPE']
['халяль', '400', 'г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['орехи', '200', 'г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['вареники', '800г'];['B-TYPE', 'B-VOLUME']
['Залить', 'Кипятком', '25', 'г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁о', 'вся', 'ное', '▁пече', 'нь', 'е', '▁к', '▁кофе'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O']
['детское', 'питание', '120g'];['B-TYPE', 'I-TYPE', 'B-VOLUME']
"['520', 'Г', ""pel'meni""]";['B-VOLUME', 'I-VOLUME', 'B-TYPE']
['предметы', 'для', 'уборки', '60Шт'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME']
['▁коз', 'ина'];['B-TYPE', 'I-TYPE']
['АКСЕССУАРЫ', '37', 'г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['мой', 'йогурты', '4.7%'];['O', 'B-TYPE', 'B-PERCENT']
['▁сард', 'н', 'льки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁мас', 'лин'];['B-TYPE', 'I-TYPE']
['frukty', '2', 'шт'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['Для', 'Котиков', '85г'];['B-TYPE', 'I-TYPE', 'B-VOLUME']
['▁топ', 'лен', 'ное', '▁вол', 'жан', 'оч'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
['▁coca'];['B-BRAND']
['▁сло', 'ды'];['B-TYPE', 'I-TYPE']
['конфеты', '100%'];['B-TYPE', 'B-PERCENT']
['3', 'i0', 'г', 'майонез', 'она'];['B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'B-TYPE', 'O']
['леденцы', '150', 'Г', 'она'];['B-TYPE', 'B-VOLUME', 'I-VOLUME', 'O']
['▁со', 'п', 'ь'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁кол', 'баса', '▁крем', 'лев', 'ская'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['кофе', '100%'];['B-TYPE', 'B-PERCENT']
['Е', '▁смета'];['B-BRAND', 'B-TYPE']
['▁бр', 'ын', 'за', '▁тендер'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND']
['аксессуары', '190', 'мл'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁кар', 'ьон', 'ат'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['ХЛЕБЦЫ', '125', 'Г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['Всё', 'Для', 'Уборки', '100%'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-PERCENT']
['через', 'пиво', '1', 'Л'];['O', 'B-TYPE', 'B-VOLUME', 'I-VOLUME']
['сыр', '120г'];['B-TYPE', 'B-VOLUME']
['ни', '85Г', 'для', 'котиков'];['O', 'B-VOLUME', 'B-TYPE', 'I-TYPE']
['▁й', 'о', 'гурт', '▁для', '▁салата'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O']
['▁же', 'ва', 'тельный'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁й', 'они', '▁1', '▁', 'т'];['B-TYPE', 'O', 'B-VOLUME', 'B-BRAND', 'I-BRAND']
['не', 'ягоды', '300', 'Г'];['O', 'B-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁8', 'нская', '▁туалет'];['B-VOLUME', 'B-BRAND', 'B-TYPE']
['▁бел', 'ый', '▁хлеб', '▁ще', 'лк', 'овский'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
['▁so', '▁мя'];['B-TYPE', 'B-BRAND']
['▁пост', 'е', 'ы', 'ц'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['3.', '5', '%', 'завтраки'];['B-PERCENT', 'I-PERCENT', 'I-PERCENT', 'B-TYPE']
['konfety', '900', 'Г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁го', 'оо', 'шек'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁без', 'ла', 'ки', 'оз', 'ный'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['комбо', '160Г'];['B-TYPE', 'B-VOLUME']
['▁р', 'рых', 'ли', 'тель'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['u50мл', 'когда', 'pivo'];['B-VOLUME', 'O', 'B-TYPE']
['напитки', '100', '%'];['B-TYPE', 'B-PERCENT', 'I-PERCENT']
['▁набор', 'ы', '▁овощ', 'н'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['900', 'мл', 'морсы', 'её'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'O']
['фарш', '340', 'г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME']
['▁му', 'ка', '▁о', 'вся', 'ная'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁десерт', '▁в', '▁в', 'аф'];['B-TYPE', 'O', 'O', 'O']
['▁мор', 'с', '▁', 'клю', 'ква'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁мор', 'ожен', 'ое', '▁фр', 'ук', 'т', 'овый', '▁лед'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'O']
['▁пря', 'ников'];['B-TYPE', 'I-TYPE']
['▁банан', 'овое'];['B-TYPE', 'I-TYPE']
['▁крас', 'но', 'у', 'со', 'льская'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
['всё', 'для', 'выпечки', '4', 'l'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME']
