tokens;tags
['▁со', 'е', 'ый'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁сп', 'нд', 'ви', 'ч'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁вар', 'мм', 'ше', 'ль'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'соль', '▁Камен', 'Ная'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁', 'на', 'г', 'ге', 'т', 'чы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁фр', 'у', 'тя', 'ня', 'ня'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁фил', 'ей', 'на'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁СУП', '▁со', '▁све', 'зд', 'очка', 'ми'];['B-TYPE', 'O', 'O', 'O', 'O', 'O']
['▁мр', 'ме', 'ад', '▁же', 'ва', 'тель', 'ым'];['O', 'O', 'O', 'O', 'O', 'O', 'O']
['▁бумаг', '▁', 'каля', 'ка', '-', 'ма', 'ля'];['B-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
['▁вод', 'ка', '▁', 'Слобода'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁коктейл', 'ь', '▁зелен', 'ые', '▁лист', 'ья'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
['▁мах', 'ее', 'въ', '▁гор', 'чи', 'ц'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁ТИ', 'ЛЬ', 'ЗИТ'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁sine', 'rge', 'tik'];['B-BRAND', 'I-BRAND', 'I-BRAND']
['▁FER', 'RE', 'RO', '▁дра', 'ж'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
['▁сло', 'енное', '▁тест', 'о'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁фа', 'мпи', 'ньо', 'ны'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['овощи', '400г', 'Bknduelle'];['B-TYPE', 'B-VOLUME', 'B-BRAND']
['чай', '20шт'];['B-TYPE', 'B-VOLUME']
['БЗМЖ', 'шоколад'];['B-BRAND', 'B-TYPE']
['▁', 'лист', 'ы', '▁для', '▁да', 'за', 'нь', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O']
['▁без', 'дак', 'то', 'з', 'ное'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'гай', 'ко', 'вер', 'ты'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁кар', 'да', 'мон', '▁производство'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND']
['▁Суд', 'Ак', '▁замор', 'ожен', 'ное'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁сне', 'жек'];['B-TYPE', 'I-TYPE']
['▁aqua'];['B-BRAND']
['▁c', 'ы', 'рки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'Bod', 'Uar', 'T'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
['▁sil', 'va', '▁чаш'];['B-BRAND', 'I-BRAND', 'B-TYPE']
['▁недалеко', '▁', 'Сы', 'То', 'Е', 'Дов'];['O', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
['▁', 'ром', '▁а', 'сто'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['250г', 'чай'];['B-VOLUME', 'B-TYPE']
['▁поро', 'ок'];['B-TYPE', 'I-TYPE']
['▁', 'ОЛИ', 'ВКИ,', 'МАС', 'ЛИ', 'НЫ'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁клуб', 'ика'];['B-TYPE', 'I-TYPE']
['▁рис', '▁', 'ПРО', 'ПАР', 'ЕННЫЙ'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁конф'];['B-TYPE']
['▁б', 'лин'];['B-TYPE', 'I-TYPE']
['▁полу', 'фоб', 'рика', 'ты'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'Цар', 'Ь', '▁п', 'ше', 'но'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁мл', 'лл', 'ко'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁Без', 'Дро', 'Жж', 'Евой'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁й', 'о', 'гурт', 'овый'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'лю', 'ля'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁evit', 'est'];['B-BRAND', 'I-BRAND']
['▁', 'Ел', 'Очка', '▁виноград'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE']
['▁бил', 'ке', 'ы', 'ир', 'ная'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁модуль'];['B-TYPE']
['▁бе', 'дро', '▁без', '▁кости'];['B-TYPE', 'I-TYPE', 'O', 'O']
['▁сыр', 'к', '▁в', 'рож', 'ное'];['O', 'O', 'O', 'O', 'O']
['▁и', 'кра', '▁мой', 'вы'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁Н', 'Ф', '▁', 'очки'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
['▁', 'лава', 'ши', '▁', 'А', 'Тр'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
['▁сир', 'таки'];['B-TYPE', 'I-TYPE']
['▁хлеб', '▁по', 'кров', 'ский'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁сыр', 'ков'];['B-TYPE', 'I-TYPE']
['▁l', '.', 'g'];['O', 'O', 'O']
['▁том', 'ат', '▁', 'ros'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁', 'вани', 'лин', '▁трап', 'ез'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁ки', 'сло', 'вод', 'ская'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
['▁в', 'ни', 'ли'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['70Г', 'чай'];['B-VOLUME', 'B-TYPE']
['▁', 'Том', 'Ат', 'Ный', '▁сок', '▁', 'сады', '▁При', 'Дон', 'Ья'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'B-BRAND', 'I-BRAND', 'B-BRAND', 'I-BRAND', 'I-BRAND']
['▁твор', 'р', 'го'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁средство', '▁от', '▁моли'];['B-TYPE', 'O', 'O']
['▁бел', 'ков', 'ые'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁твор', 'ож', 'ной'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁если', '▁су', 'лугун', 'и'];['O', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁салат', 'нк'];['B-TYPE', 'I-TYPE']
['▁фе', 'лекс'];['B-BRAND', 'I-BRAND']
['▁', 'троп', 'ическое', '▁Ман', 'Го'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁Кола', '▁без', '▁ск', 'хар', 'а'];['B-TYPE', 'O', 'O', 'O', 'O']
['▁И', 'Нд', 'Г'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁салат', '▁ми', 'кс'];['B-TYPE', 'B-TYPE', 'I-TYPE']
['▁чист', 'я', 'щее', '▁для', '▁плит', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O']
['▁том', 'ат', 'ный', '▁со', 'ус'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁ри', 'тер'];['B-BRAND', 'I-BRAND']
['▁', 'лап', 'ша', '▁за', 'лить', '▁кип', 'ят', 'ком'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O']
['▁аль', 'ме'];['B-BRAND', 'I-BRAND']
['▁та', 'рел', 'ки', '▁cha', 'mele'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁Вет', 'Чи', 'Ной'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'цо', 'гурт'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁универс', 'альная', '▁при', 'права'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁Бата', 'Ере', 'Йки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁кругл', 'ый', '▁го', 'рох'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁', 'ГРЕ', 'Ц', 'ЧА'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'Й', 'О', 'Гурт', '▁с', '▁ш'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O']
['▁dona'];['B-BRAND']
['▁', 'мало', 'еж'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁шаш', 'лык', '▁из', '▁сви', 'ни', 'ны'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
['▁прост', 'г', 'ква', 'ш', 'п', 'но'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁чиста', 'я', '▁линия'];['B-BRAND', 'I-BRAND', 'B-BRAND']
['▁', 'МАКАР', 'ОНЫ', '▁спира', 'льки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁КА', 'СТР', 'Ю', 'ЛИ', '▁', 'liber', 'haux'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
['▁бул', 'ка'];['B-TYPE', 'I-TYPE']
['▁kender'];['B-BRAND']
['МАСЛО', '250мл'];['B-TYPE', 'B-VOLUME']
['▁с', 'пред', '▁ar', 'l'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁мар', 'дар', 'ины'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['1$кг', 'для', 'собак'];['B-VOLUME', 'B-TYPE', 'I-TYPE']
['▁сме', 'тна', 'а'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁бел', 'акт', 'озно', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁кра', 'х', 'мал', '▁пище', 'в'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁стакан', '▁borg', 'on', 'ov'];['B-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
['▁желуд', 'у'];['B-TYPE', 'I-TYPE']
['▁зуб', 'ная', '▁', 'щ', 'ёт', 'ка'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁яйца', 'а'];['B-TYPE', 'I-TYPE']
['▁си', 'др', '▁vas', 'ile', 'os', 'rov', 'sko'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
['▁с', 'лив', 'ки', '6'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁ку', 'кур', 'уз', 'ный', '▁хлеб'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE']
['▁ред', 'ка'];['B-TYPE', 'I-TYPE']
['▁', 'лось', 'он', '▁zeit', 'un'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁обу', 'в'];['B-TYPE', 'I-TYPE']
['▁hein', 't'];['B-BRAND', 'I-BRAND']
['▁кап', 'сул', 'ы', '▁', 'дл', '▁я', 'ст', 'т', 'рки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O', 'O']
['▁', 'гур', 'ми', '▁сала'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE']
['▁ир', 'мень'];['B-BRAND', 'I-BRAND']
['▁вер', 'миш', 'кл'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'ек', 'фи', 'р'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'Сыр', '▁друж', 'ба', '▁для', '▁су', 'па'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'O', 'O', 'O']
['▁крас', 'но'];['B-TYPE', 'I-TYPE']
['▁ку', 'ку', 'ру', 'зна', 'ч'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁мы', 'ло', '▁Твердо', 'Е'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁', 'ОРЕХ', 'ОВА', 'Е'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['печенье', 'E00Г'];['B-TYPE', 'B-VOLUME']
['Polsr', 'котлеты'];['B-BRAND', 'B-TYPE']
['▁Ци', 'Кор', 'Ия'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'СА', 'ЖЕН', 'ЕЦ', '▁Mos', 'Sel', 'Ma'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
['▁со', 'ус', '▁', 'бру', 'сни', 'чный'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁тре', 'ска', '▁Ping', 'Vi'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁Влажн', 'Ый', '▁корм', '▁для', '▁ко', 'шек', '▁па', 'штет'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'O', 'O', 'O', 'B-TYPE', 'I-TYPE']
['▁е', 'гур', 'д'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁губ', 'ок', '▁у'];['B-TYPE', 'I-TYPE', 'B-BRAND']
['▁МОЛ', 'ОЕ', 'Ю', 'КО'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁о', 'вся', 'н', 'ве'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁вкус', 'ня', 'шки', '▁для', '▁ко', 'шек'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O']
['ШОКОЛАД', '$00г'];['B-TYPE', 'B-VOLUME']
['▁п', 'ман', 'ты'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'ГЛУ', 'ХАР', 'Я'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁tri', 'lo', 'bit', '▁па', 'на'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
['▁', 'СКРЕ', 'Б', 'КИ', '▁bra', 'u', 'be'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
['▁са', 'нки', ',', '▁лед', 'ян'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁бу', 'гур'];['B-TYPE', 'I-TYPE']
['▁', 'моло', 'чна', 'сме', 'сь'];['O', 'O', 'O', 'O', 'O']
['▁со', 'си', 'ски', '▁Клин', 'Ские'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁СКРА'];['B-TYPE']
['▁макар', 'оны', '▁барил', 'ла', '▁13'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'B-BRAND']
['вкус', '1л'];['B-TYPE', 'B-VOLUME']
['▁', 'Корм', '▁сухо', 'й', '▁фе', 'ли', 'кс'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
['▁ви', 'ски', '▁dun', 'hill'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁ш', 'л', 'йки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁та', 'оро', 'жек'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁Без', 'Ал', 'К'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁п', 'шени', 'чная', '▁круп', 'а'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁', 'ску', 'мб', 'рия'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁Кат', 'То', 'Шка'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁сви', 'вки'];['B-TYPE', 'I-TYPE']
['▁Со', 'Лян', 'Ки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['хлеб', '4Y0Г'];['B-TYPE', 'B-VOLUME']
['▁б', 'лин'];['B-TYPE', 'I-TYPE']
['▁ма', 'ион', 'ез'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁Дели', 'Ко', 'Те', 'Сы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁го', 'мо', 'ген', 'изирован', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁средств', '▁з', 'щи', 'ты'];['O', 'O', 'O', 'O']
['▁Мор', 'Ожен', 'Ое', '▁с', 'лив', 'кин', '▁нос'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'B-BRAND']
['▁сыр', '▁', 'на', 'тура', '▁С', 'ЛИВО', 'ЧНЫЙ'];['B-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'B-BRAND', 'I-BRAND', 'I-BRAND']
['▁', 'инди', 'дай', 'т'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁орех', 'и', '▁гре', 'цки', 'е'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
['▁о', 'кра', 'ска', '▁', 'вол'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁опо', 'ла', 'ски', 'ва', 'тель', '▁aqua', 'ri'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁пече', 'ние'];['B-TYPE', 'I-TYPE']
['▁к', 'те', 'сто'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁салат', '▁', 'чука'];['B-TYPE', 'B-TYPE', 'I-TYPE']
['▁с', 'гу', 'щен', 'ный', '▁молоко'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE']
['▁мор', 'ожен', 'ое', '▁фр', 'ук', 'т', 'овый', '▁лед', '▁!'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O']
['▁у', 'мк', 'к', '▁тор', 'тов'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
['▁frutti', 's'];['B-BRAND', 'I-BRAND']
['▁', 'ог', 'иг', 'ири'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁дома', 'шки', 'но'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'из', '▁сай', 'ры'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁', 'ое'];['O', 'O']
['▁рот', 'и'];['B-TYPE', 'I-TYPE']
['▁ай', 'ра'];['B-TYPE', 'I-TYPE']
['▁', 'ю', 'бата', 'рей', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁по', 'чень', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁було', 'чки', '▁для', '▁юу', 'рге'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O']
['▁', 'ще', 'тка', '▁collo', 'nil'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁вина', '▁виноград', 'н'];['B-TYPE', 'B-TYPE', 'I-TYPE']
['▁', 'Дет', 'Скре'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'Фри', 'Кад', 'К', 'Лки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁', 'И', 'РИС', '▁', 'ment'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
['▁л', 'гур', 'ец'];['B-TYPE', 'I-TYPE', 'I-TYPE']
['МАСЛО', 'Filippo'];['B-TYPE', 'B-BRAND']
['▁шам', 'пу', 'н', '1'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁кра', 'б', 'овая', '▁пал', 'очка'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁sweet', 'b'];['B-BRAND', 'I-BRAND']
['▁календар', 'и', '▁mi'];['B-TYPE', 'I-TYPE', 'B-BRAND']
['▁бара', 'нина', '▁ох', 'лаж', 'ден', 'ная'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
['▁сал', 'фет', 'ки', '▁анти', 'бак', 'тери', 'альные', '▁влажн', 'ые'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁сахар', 'т'];['B-TYPE', 'I-TYPE']
['▁вер', 'миш', 'ель', '▁быстро', 'го', '▁при', 'го'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
['▁Посуд', 'А'];['B-TYPE', 'I-TYPE']
['▁сердеч', 'к'];['B-TYPE', 'I-TYPE']
