tokens;tags;sample
['▁зелен', 'ый', '▁чай'];['B-TYPE', 'I-TYPE', 'B-TYPE'];зеленый чай
['▁', 'теля', 'тина'];['B-TYPE', 'I-TYPE', 'I-TYPE'];телятина
['▁сви', 'ные', '▁но', 'жки'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];свиные ножки
['▁и', 'ней'];['B-TYPE', 'I-TYPE'];иней
['▁мас', 'ли', 'ны', '▁с', '▁кос', 'то', 'чкой'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];маслины с косточкой
['▁кре', 'кер', '▁lor', 'enz'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];крекер lorenz
['▁ви', 'ины', '▁ох', 'лад', 'енное'];['O', 'O', 'O', 'O', 'O'];виины охладенное
['▁мор', 'та', 'дель', '▁студ', 'ни'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];мортадель студни
['▁молоко', 'м'];['B-TYPE', 'I-TYPE'];молоком
['▁', 'яч', 'мен', 'ная'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];ячменная
['▁готовы', 'е', '▁салат', 'ы'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];готовые салаты
['▁хлоп', 'ье'];['B-TYPE', 'I-TYPE'];хлопье
['▁осве', 'щите', 'ль'];['B-TYPE', 'I-TYPE', 'I-TYPE'];освещитель
['▁фр', 'у', 'то', 'тив'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND'];фрутотив
['▁чист', 'ящие', '▁средства', '▁1.5', 'l'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];чистящие средства 1.5l
['▁о', 'чист'];['B-TYPE', 'I-TYPE'];очист
['▁итальян', 'ская', '▁сал', 'ями'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];итальянская салями
['▁и', '▁тест', 'о', '▁90', '▁г'];['O', 'B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];и тесто 90 г
['▁па', 'сты', '▁310', '▁г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];пасты 310 г
['▁стек', 'лом', 'ой', '▁луч'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND'];стекломой луч
['▁ове', 'щи'];['B-TYPE', 'I-TYPE'];овещи
['▁мар', 'ме', 'лад', '▁1', 'U', '0', 'g'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'I-VOLUME'];мармелад 1U0g
['▁Всё', '▁Для', '▁У', 'бор', 'ки', '▁50', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];Всё Для Уборки 50г
['▁А', 'КС', 'ЕС', 'СУ', 'АРЫ', '▁33', '▁г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];АКСЕССУАРЫ 33 г
['▁недалеко', '▁коз', 'ина', 'ки'];['O', 'B-TYPE', 'I-TYPE', 'I-TYPE'];недалеко козинаки
['▁можно', '▁o', 't', 'dy', 'h', '▁2.', '▁04', '▁кг'];['O', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];можно otdyh 2. 04 кг
['▁о', 'гур', 'ец', '▁', 'марин'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];огурец марин
['▁пят', 'нов', 'ы', 'водите', 'ль', '▁chi', 'r', 'to'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];пятновыводитель chirto
['▁season', 's', '▁губ', 'к'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];seasons губк
['▁са', 'ше', '▁son', 'no'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];саше sonno
['▁со', 'ки', '▁3', 'Л'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];соки 3Л
['▁В', 'аф', 'ли', '▁114', 'Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];Вафли 114Г
['▁бак', 'лаж', 'ае', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];баклажаеы
['▁мор', 'ов', 'ь', '▁по', '▁коре', 'й', 'ски'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];моровь по корейски
['▁шам', 'пин', 'ьон', 'ны'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];шампиньонны
['▁о', 'гур', 'ец', '▁свежи', 'й'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];огурец свежий
['▁кур', 'ку', 'ма'];['B-TYPE', 'I-TYPE', 'I-TYPE'];куркума
['▁С', 'АХ', 'АР', '▁3'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME'];▁ САХАР ▁3
['▁so', 'ki', '▁125', 'М', 'Л'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];soki 125МЛ
['▁бер', 'инг', '▁ш', 'про'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];беринг шпро
['▁м', 'ю', 'сли', '▁bonne', 'ter'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];мюсли bonneter
['▁про', 'чий', '▁текст', 'и'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];прочий тексти
['▁пече', 'ет'];['B-TYPE', 'I-TYPE'];печеет
['▁', 'длин', 'но', 'зер', 'ный'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];длиннозерный
['▁ТВ', 'ОР', '▁цена', '▁%'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'B-PERCENT'];▁ ТВОР ▁ цена ▁%
['▁род', 'гуз', 'ник'];['B-TYPE', 'I-TYPE', 'I-TYPE'];родгузник
['▁21', 'г', '▁хо', 'б', 'би'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE'];21г хобби
['▁гриб', 'ами'];['B-TYPE', 'I-TYPE'];грибами
['▁мор', 'ожен', 'ое', '▁90', 'Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];мороженое 90Г
['▁мя', 'со', '▁U', '60', 'Г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];мясо U60Г
['▁твор', 'рж', 'ок'];['B-TYPE', 'I-TYPE', 'I-TYPE'];творржок
['▁газ', 'ирован', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE'];газированн
['▁раз', 'рых', 'ли', 'тель', '▁ай', 'ди', 'го'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];разрыхлитель айдиго
['▁сме', '▁3'];['B-TYPE', 'B-PERCENT'];▁ сме ▁3
['▁чи', 'бу', 'рек'];['B-TYPE', 'I-TYPE', 'I-TYPE'];чибурек
['▁нож', '▁марк', 'е'];['B-TYPE', 'B-BRAND', 'I-BRAND'];нож марке
['▁рис', 'рва', 'я'];['B-TYPE', 'I-TYPE', 'I-TYPE'];рисрвая
['▁го', 'кола', 'дки'];['B-TYPE', 'I-TYPE', 'I-TYPE'];гоколадки
['▁коре', 'й', 'ская', '▁мор', 'ков', 'ь'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];корейская морковь
['▁а', 'рах', 'ис', '▁в', '▁пан', 'иров', 'ке'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];арахис в панировке
['▁масло', '▁', 'ло', 'сос', 'ево', 'е'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];масло лососевое
['▁мас', 'ля', 'ны'];['B-TYPE', 'I-TYPE', 'I-TYPE'];масляны
['▁пу', 'динг', 'и', '▁а', '.', 'рост', 'а', 'гро', 'комплекс'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND'];пудинги а.ростагрокомплекс
['▁Й', 'ОГ', 'УР', 'ТЫ', '▁25.', '▁6', '▁%'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-PERCENT', 'I-PERCENT', 'I-PERCENT'];ЙОГУРТЫ 25. 6 %
['▁skid', 'ki', '▁ne', 'deli', '▁224', '▁g'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];skidki nedeli 224 g
['▁om', 'sa', '▁', 'бю', 'ст', 'га', 'ль', 'тера'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];omsa бюстгальтера
['▁ам', 'перс', 'анд', '▁май', 'оне'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];амперсанд майоне
['▁', 'тру', 'сы', '▁in', 'cant'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];трусы incant
['▁ш', 'ля', 'па'];['B-TYPE', 'I-TYPE', 'I-TYPE'];шляпа
['▁кры', 'лья', '▁кур', 'и', 'ные'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];крылья куриные
['▁закуски', '▁чтобы', '▁55', '▁г'];['B-TYPE', 'O', 'B-VOLUME', 'I-VOLUME'];закуски чтобы 55 г
['▁сал', 'фет', 'ки', '▁для', '▁детей'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O'];салфетки для детей
['▁со', 'бач'];['B-TYPE', 'I-TYPE'];собач
['▁мо', 'рож', 'ё'];['B-TYPE', 'I-TYPE', 'I-TYPE'];морожё
['▁энерг', 'е', 'рик'];['B-TYPE', 'I-TYPE', 'I-TYPE'];энергерик
['▁лепе', 'шка', '.'];['B-TYPE', 'I-TYPE', 'I-TYPE'];лепешка.
['▁на', 'г', 'г', 'кт', 'сы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];наггктсы
['▁s', 'nic', 'ers'];['B-BRAND', 'I-BRAND', 'I-BRAND'];snicers
['▁Ку', 'х', 'ня', '▁2.', '▁2', 'л'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];Кухня 2. 2л
['▁holl', 's'];['B-BRAND', 'I-BRAND'];holls
['▁', 'piro', 'zh', 'nye', '▁213', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];pirozhnye 213г
['▁', 'пить', 'евой', '▁й', 'о', 'гурт', '▁в', '▁мягко', 'й'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O'];питьевой йогурт в мягкой
['▁mint'];['B-BRAND'];mint
['▁koh', '-', 'i', '-', 'no', 'or', '▁кара', 'нда', 'ши'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE'];koh-i-noor карандаши
['▁пюре', '▁детско', 'е'];['B-TYPE', 'B-TYPE', 'I-TYPE'];пюре детское
['▁Ч', 'ИП', 'СЫ', '▁190', '▁г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];ЧИПСЫ 190 г
['▁уход', '▁за', '▁волос', 'ами', '▁18', '▁Ш', 'т'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];уход за волосами 18 Шт
['▁кар', 'пач', 'р'];['B-TYPE', 'I-TYPE', 'I-TYPE'];карпачр
['▁салат', 'нк'];['B-TYPE', 'I-TYPE'];салатнк
['▁продукты', '▁по', '▁соц', '▁сертификат', 'у'];['B-TYPE', 'O', 'O', 'O', 'O'];продукты по соц сертификату
['▁хал', 'ва', '▁бел', 'ли'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];халва белли
['▁кофе', 'мол', 'ки', '▁электрическ', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];кофемолки электрически
['▁ПЕР', 'Е', 'КУ', 'СЫ', '▁60', '▁g'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];ПЕРЕКУСЫ 60 g
['▁п', 'шен', 'ично'];['B-TYPE', 'I-TYPE', 'I-TYPE'];пшенично
['▁то', 'рт', 'т', 'лья'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];торттлья
['▁asi', 'leo', 'rov', 'sko', 'e'];['O', 'O', 'O', 'O', 'O'];asileorovskoe
['▁58', 'Г', '▁И', 'спек', 'ли', '▁Для', '▁Вас'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];58Г Испекли Для Вас
['▁гор', 'о', 'шек', '▁vital', 'an'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];горошек vitalan
['▁кров', 'яна'];['B-TYPE', 'I-TYPE'];кровяна
['▁фр', 'уй', 'гурт'];['B-TYPE', 'I-TYPE', 'I-TYPE'];фруйгурт
['▁тест', 'о', 'э'];['B-TYPE', 'I-TYPE', 'I-TYPE'];тестоэ
['▁Для', '▁Кот', 'иков', '▁75', '▁Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];Для Котиков 75 Г
['▁они', 'ги', 'рь'];['B-TYPE', 'I-TYPE', 'I-TYPE'];онигирь
['▁За', 'ку', 'ски', '▁70', 'м', 'л'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];Закуски 70мл
['▁Пе', 'чень', 'е', '▁300', 'g'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];Печенье 300g
['▁влажн', 'ые', '▁', 'поло', 'те', 'нца'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];влажные полотенца
['▁де', 'г', 'т', 'яр', 'ное'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];дегтярное
['▁ма', 'ком'];['B-TYPE', 'I-TYPE'];маком
['▁пече', 'нь', 'е', '▁кре', 'кер', '▁рыб', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];печенье крекер рыбки
['▁пе', 'стре', 'чин', 'ка', '▁сыр', 'ов', 'я', 'лено'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];пестречинка сыровялено
['▁рыб', 'п'];['B-TYPE', 'I-TYPE'];рыбп
['▁еко', 'мил', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE'];екомилк
['▁чер', 'ный', '▁хлеб'];['B-TYPE', 'I-TYPE', 'B-TYPE'];черный хлеб
['▁ка', 'руч', 'тно'];['B-TYPE', 'I-TYPE', 'I-TYPE'];каручтно
['▁кара', 'ва'];['B-TYPE', 'I-TYPE'];карава
['▁yor', 'k', '▁', 'скре', 'бо'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE'];york скребо
['▁сигарет', 'ы', '▁mar', 'l', 'bor'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];сигареты marlbor
['▁п', 'к', 'ль', 'мен'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];пкльмен
['▁уход', '▁за', '▁волос', 'ами', '▁3', '▁t', '0', '▁М', 'л'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'I-VOLUME', 'I-VOLUME'];уход за волосами 3 t0 Мл
['▁смета', 'на', '▁3.4', '-', '6%'];['B-TYPE', 'I-TYPE', 'B-PERCENT', 'I-PERCENT', 'I-PERCENT'];сметана 3.4-6%
['▁хлеб', '▁то', 'сты'];['B-TYPE', 'B-TYPE', 'I-TYPE'];хлеб тосты
['▁туш', 'к', 'нка'];['B-TYPE', 'I-TYPE', 'I-TYPE'];тушкнка
['▁рис', '▁селян', 'очка'];['B-TYPE', 'B-BRAND', 'I-BRAND'];рис селяночка
['▁молоко', '▁па', 'стер', 'изован', 'ное'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];молоко пастеризованное
['▁картоф', 'еле', 'мя', 'лка'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];картофелемялка
['▁мас', 'ли', 'ны', '▁vita', 'land'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];маслины vitaland
['▁пюре', '▁фр', 'ук', 'т', 'овые'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];пюре фруктовые
['▁и', 'лец', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE'];илецк
['▁с', 'лад', 'ости', '▁для', '▁детей'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O'];сладости для детей
['▁Как', 'ао', '▁70', '▁г', '▁каждый'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'O'];Какао 70 г каждый
['▁Па', 'штет', 'ы', '▁180', '▁g'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];Паштеты 180 g
['▁май', 'о', 'нез', '▁я', '▁люблю', '▁готови', 'ть'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'B-BRAND', 'B-BRAND', 'I-BRAND'];майонез я люблю готовить
['▁губ', 'ки', '▁для', '▁мы', 'ть', 'я'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];губки для мытья
['▁корм', '▁д', 'ла', '▁кот', 'ов'];['B-TYPE', 'O', 'O', 'O', 'O'];корм дла котов
['▁полу', 'коп', 'чен', 'ная', '▁кол', 'ба', 'ски'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];полукопченная колбаски
['▁аптека', '▁8', 'шт'];['B-TYPE', 'B-VOLUME', 'I-VOLUME'];аптека 8шт
['▁и', 'спек', 'ли', '▁для', '▁вас', '▁58', 'Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];испекли для вас 58Г
['▁без', 'лак'];['B-TYPE', 'I-TYPE'];безлак
['▁со', 'ус', '▁том', 'ат', 'ный', '▁для', '▁спа', 'ге', 'т', 'ти'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O'];соус томатный для спагетти
['▁ку', 'ку', 'ру', 'щ', 'ные'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];кукурущные
['▁шп', 'ика', 'чки', '▁клин', 'ск'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];шпикачки  клинск
['▁or', 'in'];['B-BRAND', 'I-BRAND'];orin
['▁сахар', '▁52', 'g'];['B-TYPE', 'B-VOLUME', 'I-VOLUME'];сахар 52g
['▁со', 'лён', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE'];солёны
['▁пят', 'нов', 'ы', 'водите', 'ль'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];пятновыводитель
"['▁zelen', ""'"", '▁270', 'Г']";['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];zelen' 270Г
['▁', 'веч', 'тина'];['B-TYPE', 'I-TYPE', 'I-TYPE'];вечтина
['▁слобода'];['B-BRAND'];слобода
['▁аптека', '▁1', '▁Q', 'Ш', 'Т'];['B-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'I-VOLUME'];аптека 1 QШТ
['▁ви', 'нный', '▁marti', 'ni'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];винный martini
['▁море', 'жен', 'ное'];['B-TYPE', 'I-TYPE', 'I-TYPE'];мореженное
['▁си', 'др', '▁', 'оча', 'ково'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];сидр очаково
['▁на', 'пит', 'ок', '▁san', 'pel', 'legri'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];напиток sanpellegri
['▁хлеб', '▁', 'ржан', 'ой'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];хлеб ржаной
['▁СО', 'КИ', '▁0.2', '5', 'Л'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];СОКИ 0.25Л
['▁', 'лук', '▁фи', 'о', 'лет', 'овый'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];лук фиолетовый
['▁олон', 'ец'];['B-TYPE', 'I-TYPE'];олонец
